iter	Passed	Remaining
0	169	169454
1	177	88419
2	185	61582
3	189	47135
4	194	38607
5	197	32741
6	201	28557
7	205	25481
8	209	23046
9	214	21196
10	219	19697
11	222	18314
12	228	17327
13	231	16312
14	234	15404
15	237	14602
16	242	14001
17	245	13386
18	248	12825
19	251	12311
20	254	11843
21	258	11492
22	261	11108
23	264	10751
24	267	10416
25	270	10139
26	274	9885
27	277	9636
28	281	9412
29	284	9193
30	287	8983
31	291	8820
32	294	8633
33	297	8450
34	301	8306
35	304	8147
36	307	8013
37	311	7879
38	314	7737
39	317	7609
40	319	7483
41	322	7365
42	325	7248
43	328	7136
44	331	7029
45	333	6926
46	337	6833
47	339	6737
48	342	6647
49	345	6561
50	348	6481
51	351	6401
52	354	6326
53	357	6254
54	359	6182
55	363	6128
56	366	6058
57	368	5992
58	371	5928
59	374	5863
60	376	5802
61	379	5747
62	382	5690
63	385	5637
64	388	5584
65	390	5532
66	393	5484
67	396	5436
68	399	5391
69	402	5346
70	405	5305
71	408	5263
72	412	5233
73	415	5199
74	418	5160
75	421	5122
76	425	5095
77	427	5058
78	430	5022
79	433	4986
80	436	4949
81	438	4913
82	441	4881
83	444	4851
84	447	4818
85	450	4787
86	453	4756
87	456	4727
88	459	4699
89	461	4668
90	465	4645
91	468	4627
92	472	4603
93	475	4579
94	478	4555
95	482	4539
96	484	4514
97	487	4487
98	490	4464
99	493	4438
100	496	4415
101	499	4397
102	502	4377
103	505	4355
104	508	4333
105	511	4317
106	518	4325
107	521	4304
108	524	4284
109	527	4267
110	530	4250
111	534	4236
112	539	4231
113	541	4211
114	544	4193
115	550	4192
116	554	4183
117	557	4166
118	560	4147
119	563	4134
120	566	4114
121	569	4094
122	571	4075
123	574	4055
124	576	4036
125	579	4021
126	582	4003
127	585	3985
128	587	3968
129	590	3950
130	593	3933
131	595	3918
132	598	3901
133	601	3886
134	604	3871
135	606	3854
136	609	3838
137	611	3822
138	614	3806
139	617	3793
140	620	3779
141	622	3763
142	625	3749
143	628	3734
144	630	3720
145	633	3707
146	636	3693
147	639	3680
148	641	3666
149	644	3653
150	647	3641
151	650	3628
152	653	3615
153	655	3601
154	658	3588
155	660	3574
156	663	3563
157	666	3550
158	668	3537
159	671	3526
160	674	3514
161	677	3504
162	680	3493
163	683	3482
164	685	3470
165	688	3458
166	691	3447
167	694	3441
168	698	3433
169	700	3422
170	704	3415
171	707	3405
172	710	3396
173	713	3385
174	715	3375
175	718	3364
176	721	3353
177	724	3343
178	726	3333
179	729	3324
180	732	3314
181	735	3304
182	738	3295
183	741	3286
184	743	3277
185	746	3268
186	749	3259
187	752	3250
188	755	3243
189	758	3234
190	761	3225
191	764	3216
192	767	3207
193	770	3202
194	773	3194
195	776	3185
196	779	3176
197	781	3167
198	785	3160
199	787	3151
200	790	3143
201	794	3138
202	797	3130
203	801	3126
204	806	3129
205	810	3125
206	813	3116
207	816	3110
208	819	3102
209	823	3098
210	828	3097
211	831	3090
212	834	3082
213	838	3080
214	842	3077
215	846	3072
216	849	3065
217	852	3059
218	855	3051
219	858	3043
220	861	3035
221	863	3026
222	866	3018
223	869	3011
224	872	3004
225	874	2996
226	877	2988
227	880	2980
228	883	2975
229	886	2968
230	890	2964
231	893	2956
232	896	2949
233	898	2942
234	901	2935
235	904	2928
236	908	2924
237	911	2917
238	914	2910
239	916	2903
240	919	2896
241	922	2889
242	925	2881
243	927	2874
244	930	2867
245	933	2860
246	937	2857
247	940	2851
248	943	2844
249	945	2837
250	948	2829
251	951	2824
252	954	2817
253	956	2810
254	959	2803
255	962	2797
256	965	2791
257	969	2787
258	972	2782
259	975	2777
260	979	2772
261	983	2769
262	987	2765
263	990	2760
264	993	2754
265	997	2751
266	1000	2745
267	1003	2740
268	1006	2735
269	1009	2728
270	1011	2722
271	1014	2715
272	1017	2709
273	1020	2703
274	1023	2697
275	1026	2693
276	1029	2688
277	1032	2682
278	1035	2676
279	1038	2669
280	1041	2663
281	1043	2657
282	1046	2651
283	1049	2645
284	1052	2639
285	1054	2633
286	1058	2629
287	1061	2624
288	1064	2618
289	1067	2612
290	1070	2606
291	1072	2601
292	1075	2595
293	1078	2589
294	1081	2583
